pipeline,language,method,vocab_size,algorithm,macro_f1
basic,english,gini,500,SVM,0.9528
basic,english,gini,500,MNB,0.9376
basic,english,gini,500,RF,0.9604
basic,english,gini,500,TextCNN,0.9661
basic,english,gini,500,LSTM,0.9606
basic,english,gini,300,SVM,0.9516
basic,english,gini,300,MNB,0.9312
basic,english,gini,300,RF,0.9561
basic,english,gini,300,TextCNN,0.9615
basic,english,gini,300,LSTM,0.9467
basic,english,gini,100,SVM,0.9445
basic,english,gini,100,MNB,0.9104
basic,english,gini,100,RF,0.9436
basic,english,gini,100,TextCNN,0.9504
basic,english,gini,100,LSTM,0.952
basic,english,gini,50,SVM,0.912
basic,english,gini,50,MNB,0.8758
basic,english,gini,50,RF,0.9428
basic,english,gini,50,TextCNN,0.9203
basic,english,gini,50,LSTM,0.9335
basic,english,gini,30,SVM,0.8894
basic,english,gini,30,MNB,0.8556
basic,english,gini,30,RF,0.9327
basic,english,gini,30,TextCNN,0.9374
basic,english,gini,30,LSTM,0.9173
basic,english,gini,10,SVM,0.8137
basic,english,gini,10,MNB,0.6288
basic,english,gini,10,RF,0.791
basic,english,gini,10,TextCNN,0.8992
basic,english,gini,10,LSTM,0.8769
basic,english,dfs,500,SVM,0.9622
basic,english,dfs,500,MNB,0.9443
basic,english,dfs,500,RF,0.959
basic,english,dfs,500,TextCNN,0.9658
basic,english,dfs,500,LSTM,0.9612
basic,english,dfs,300,SVM,0.9518
basic,english,dfs,300,MNB,0.9474
basic,english,dfs,300,RF,0.9535
basic,english,dfs,300,TextCNN,0.9696
basic,english,dfs,300,LSTM,0.9723
basic,english,dfs,100,SVM,0.9441
basic,english,dfs,100,MNB,0.9274
basic,english,dfs,100,RF,0.9431
basic,english,dfs,100,TextCNN,0.9612
basic,english,dfs,100,LSTM,0.9567
basic,english,dfs,50,SVM,0.925
basic,english,dfs,50,MNB,0.9204
basic,english,dfs,50,RF,0.9341
basic,english,dfs,50,TextCNN,0.9553
basic,english,dfs,50,LSTM,0.9586
basic,english,dfs,30,SVM,0.8986
basic,english,dfs,30,MNB,0.8902
basic,english,dfs,30,RF,0.917
basic,english,dfs,30,TextCNN,0.9342
basic,english,dfs,30,LSTM,0.937
basic,english,dfs,10,SVM,0.8177
basic,english,dfs,10,MNB,0.7741
basic,english,dfs,10,RF,0.8254
basic,english,dfs,10,TextCNN,0.9098
basic,english,dfs,10,LSTM,0.9132
stopword,english,gini,500,SVM,0.9601
stopword,english,gini,500,MNB,0.9401
stopword,english,gini,500,RF,0.9548
stopword,english,gini,500,TextCNN,0.9539
stopword,english,gini,500,LSTM,0.9558
stopword,english,gini,300,SVM,0.9423
stopword,english,gini,300,MNB,0.9219
stopword,english,gini,300,RF,0.9537
stopword,english,gini,300,TextCNN,0.9443
stopword,english,gini,300,LSTM,0.9411
stopword,english,gini,100,SVM,0.9105
stopword,english,gini,100,MNB,0.9113
stopword,english,gini,100,RF,0.9483
stopword,english,gini,100,TextCNN,0.9391
stopword,english,gini,100,LSTM,0.9445
stopword,english,gini,50,SVM,0.911
stopword,english,gini,50,MNB,0.8885
stopword,english,gini,50,RF,0.9342
stopword,english,gini,50,TextCNN,0.9398
stopword,english,gini,50,LSTM,0.9423
stopword,english,gini,30,SVM,0.8803
stopword,english,gini,30,MNB,0.7949
stopword,english,gini,30,RF,0.9192
stopword,english,gini,30,TextCNN,0.9287
stopword,english,gini,30,LSTM,0.8805
stopword,english,gini,10,SVM,0.8271
stopword,english,gini,10,MNB,0.6349
stopword,english,gini,10,RF,0.832
stopword,english,gini,10,TextCNN,0.8738
stopword,english,gini,10,LSTM,0.8648
stopword,english,dfs,500,SVM,0.9447
stopword,english,dfs,500,MNB,0.9379
stopword,english,dfs,500,RF,0.9521
stopword,english,dfs,500,TextCNN,0.9553
stopword,english,dfs,500,LSTM,0.9314
stopword,english,dfs,300,SVM,0.9398
stopword,english,dfs,300,MNB,0.9314
stopword,english,dfs,300,RF,0.9523
stopword,english,dfs,300,TextCNN,0.9534
stopword,english,dfs,300,LSTM,0.9491
stopword,english,dfs,100,SVM,0.9235
stopword,english,dfs,100,MNB,0.919
stopword,english,dfs,100,RF,0.9411
stopword,english,dfs,100,TextCNN,0.9398
stopword,english,dfs,100,LSTM,0.9307
stopword,english,dfs,50,SVM,0.9178
stopword,english,dfs,50,MNB,0.8842
stopword,english,dfs,50,RF,0.9374
stopword,english,dfs,50,TextCNN,0.928
stopword,english,dfs,50,LSTM,0.9335
stopword,english,dfs,30,SVM,0.8941
stopword,english,dfs,30,MNB,0.8404
stopword,english,dfs,30,RF,0.9159
stopword,english,dfs,30,TextCNN,0.9159
stopword,english,dfs,30,LSTM,0.9059
stopword,english,dfs,10,SVM,0.8437
stopword,english,dfs,10,MNB,0.6874
stopword,english,dfs,10,RF,0.8361
stopword,english,dfs,10,TextCNN,0.8737
stopword,english,dfs,10,LSTM,0.8737
stemming,english,gini,500,SVM,0.9584
stemming,english,gini,500,MNB,0.9318
stemming,english,gini,500,RF,0.9575
stemming,english,gini,500,TextCNN,0.9712
stemming,english,gini,500,LSTM,0.9584
stemming,english,gini,300,SVM,0.9612
stemming,english,gini,300,MNB,0.9199
stemming,english,gini,300,RF,0.9533
stemming,english,gini,300,TextCNN,0.9687
stemming,english,gini,300,LSTM,0.9434
stemming,english,gini,100,SVM,0.9366
stemming,english,gini,100,MNB,0.9144
stemming,english,gini,100,RF,0.9535
stemming,english,gini,100,TextCNN,0.9634
stemming,english,gini,100,LSTM,0.9589
stemming,english,gini,50,SVM,0.9215
stemming,english,gini,50,MNB,0.8952
stemming,english,gini,50,RF,0.9539
stemming,english,gini,50,TextCNN,0.952
stemming,english,gini,50,LSTM,0.9507
stemming,english,gini,30,SVM,0.8807
stemming,english,gini,30,MNB,0.8613
stemming,english,gini,30,RF,0.9289
stemming,english,gini,30,TextCNN,0.9381
stemming,english,gini,30,LSTM,0.9149
stemming,english,gini,10,SVM,0.7063
stemming,english,gini,10,MNB,0.6288
stemming,english,gini,10,RF,0.7832
stemming,english,gini,10,TextCNN,0.8876
stemming,english,gini,10,LSTM,0.8739
stemming,english,dfs,500,SVM,0.9611
stemming,english,dfs,500,MNB,0.9423
stemming,english,dfs,500,RF,0.9564
stemming,english,dfs,500,TextCNN,0.9712
stemming,english,dfs,500,LSTM,0.9645
stemming,english,dfs,300,SVM,0.9501
stemming,english,dfs,300,MNB,0.942
stemming,english,dfs,300,RF,0.9563
stemming,english,dfs,300,TextCNN,0.9658
stemming,english,dfs,300,LSTM,0.97
stemming,english,dfs,100,SVM,0.9384
stemming,english,dfs,100,MNB,0.9301
stemming,english,dfs,100,RF,0.9458
stemming,english,dfs,100,TextCNN,0.9649
stemming,english,dfs,100,LSTM,0.9589
stemming,english,dfs,50,SVM,0.9205
stemming,english,dfs,50,MNB,0.9237
stemming,english,dfs,50,RF,0.9449
stemming,english,dfs,50,TextCNN,0.9235
stemming,english,dfs,50,LSTM,0.9428
stemming,english,dfs,30,SVM,0.8997
stemming,english,dfs,30,MNB,0.8948
stemming,english,dfs,30,RF,0.9224
stemming,english,dfs,30,TextCNN,0.9391
stemming,english,dfs,30,LSTM,0.9363
stemming,english,dfs,10,SVM,0.8326
stemming,english,dfs,10,MNB,0.7717
stemming,english,dfs,10,RF,0.8416
stemming,english,dfs,10,TextCNN,0.9097
stemming,english,dfs,10,LSTM,0.9064
full,english,gini,500,SVM,0.9652
full,english,gini,500,MNB,0.9483
full,english,gini,500,RF,0.9483
full,english,gini,500,TextCNN,0.9624
full,english,gini,500,LSTM,0.9583
full,english,gini,300,SVM,0.9406
full,english,gini,300,MNB,0.9256
full,english,gini,300,RF,0.9508
full,english,gini,300,TextCNN,0.9508
full,english,gini,300,LSTM,0.9536
full,english,gini,100,SVM,0.9262
full,english,gini,100,MNB,0.9152
full,english,gini,100,RF,0.9499
full,english,gini,100,TextCNN,0.9477
full,english,gini,100,LSTM,0.9459
full,english,gini,50,SVM,0.9071
full,english,gini,50,MNB,0.8897
full,english,gini,50,RF,0.9337
full,english,gini,50,TextCNN,0.9372
full,english,gini,50,LSTM,0.9426
full,english,gini,30,SVM,0.8976
full,english,gini,30,MNB,0.8291
full,english,gini,30,RF,0.9283
full,english,gini,30,TextCNN,0.9187
full,english,gini,30,LSTM,0.8908
full,english,gini,10,SVM,0.8326
full,english,gini,10,MNB,0.6573
full,english,gini,10,RF,0.8345
full,english,gini,10,TextCNN,0.8695
full,english,gini,10,LSTM,0.8629
full,english,dfs,500,SVM,0.9476
